category,question,option_a,option_b,option_c,option_d
animals,How would it treat a stranger?,Instant best friend,Deep suspicion,Total indifference,Loud objection
animals,Would you keep one?,In a heartbeat,If it were practical,Only to visit,Absolutely not
sports,What matters most in it?,Raw strength,Precision,Stamina,Mind games
sports,How sweaty do things get?,Barely,A decent workout,Completely drenched,Depends on the drama
sports,Best way to enjoy it?,Being in the game,Watching live,From the couch,Arguing about it after
sports,What would you fear most?,Injury,Public embarrassment,Losing badly,The training
sports,Who tends to dominate?,The strong ones,The fast ones,The patient ones,The lucky ones
sports,When is it at its best?,Sunday mornings,School tournaments,The big finals,The street version
sports,What's the crowd like?,Pin-drop silence,Constant roar,Polite clapping,Absolute chaos
movies,The ideal way to experience it?,"Opening night, big screen",Cozy at home,"Alone, undisturbed",Loud group watch
movies,What mood does it demand?,Popcorn-brain fun,Full attention,Tissues nearby,Late-night vibes
movies,What would make you walk out?,Slow pacing,Bad acting,Predictability,Nothing — I always finish
movies,Who would you bring along?,Best friend,A date,The whole family,Strictly solo
movies,What's its biggest strength?,The visuals,The story,The music,The vibes
movies,How do you feel afterwards?,Energised,Emotionally wrecked,Deep in thought,Like I wasted time
movies,What's the snack situation?,"Popcorn, classic",Something smuggled in,A full meal,Too gripped to eat
technology,How lost are you without it?,Completely paralysed,Annoyed but fine,Secretly relieved,Wouldn't even notice
technology,What frustrates you most about it?,It's slow,It gives up too soon,The constant updates,Everyone else using it wrong
technology,Who struggles with it the most?,Parents,Grandparents,"Honestly, me",Nobody — it's easy
technology,When do you use it most?,"All day, nonstop",Work or study hours,Late at night,Only when needed
technology,What's your upgrade philosophy?,"Day one, always",When it breaks,When it gets embarrassing,"Never, if I can help it"
technology,How private is it?,Extremely — hands off,Family can peek,Friends can borrow,Totally public
technology,How long does one survive with you?,Months — I'm rough,A year or two,Until it dies naturally,Forever — I baby it
indian_culture,What does it instantly bring back?,Childhood,Festivals at home,Street chaos,Family gatherings
indian_culture,When is it at its absolute best?,During monsoon,Festival season,Weddings,Any random Tuesday
indian_culture,Who is most obsessed with it?,Grandparents,Aunties and uncles,The kids,Literally everyone
indian_culture,What's the unwritten rule about it?,Never refuse it,Elders go first,There's always a debate,More is always better
indian_culture,How would a first-time visitor react?,Instant love,Total confusion,Cautious curiosity,They'd write a blog about it
indian_culture,Where is it best enjoyed?,At home,On the street,At a big event,"Anywhere, anytime"
indian_culture,What's non-negotiable about it?,Freshness / authenticity,The right company,The right timing,The bargaining
absurd_funny,Worst possible time for it?,A job interview,A first date,A family function,Dead silence in class
absurd_funny,Your honest reaction to it?,Uncontrollable laughter,Deep secondhand shame,Pretend nothing happened,Record it immediately
absurd_funny,Who does it remind you of?,"Me, unfortunately",My best friend,A specific uncle,"Everyone, eventually"
absurd_funny,How would you explain it to your boss?,Blame someone else,Own it proudly,A long fake story,Resign on the spot
absurd_funny,What's its theme song?,Dramatic violins,Cartoon sound effects,Sad trombone,Epic trailer music
absurd_funny,How do you survive it?,Laugh it off,Flee the scene,Deny everything,Embrace the chaos
absurd_funny,Rate its danger level?,Harmless fun,Mild embarrassment,Social catastrophe,Emotionally scarring
